"","taxonomy_id","Perct","Reads","Specific_reads","Level","Taxa_names","species","Kingdom","Gram+/-","菌属中文名","菌种中文名","名词解释"
"26",1379,0.0020590471363406,65,65,"S","Gemella haemolysans","Gemella haemolysans","Bacteria",NA,NA,NA,NA
"27",1396,0.0142232640648758,449,449,"S","Bacillus cereus","Bacillus cereus","Bacteria","G+","芽胞杆菌属","蜡样芽胞杆菌","蜡样芽胞杆菌引起的细菌性食物中毒比较常见。该菌进入体内后产生耐热和不耐热两种毒素，分别导致呕吐型和腹泻型两类症状。血流感染少见，可并发混合感染包括手术切口感染或肿瘤坏死继发感染；脑膜炎，脑脓肿少见，可由于耳炎，乳突炎，神经外科手术，脑室腹腔分流术并发；眼部感染为创伤后眼内炎的首要致病菌，也可导致角膜炎，眶周脓肿，结膜炎和泪囊炎；心内膜炎为静脉注射吸毒人群罕见的并发症，三尖瓣感染性心内膜炎多为惰性病程；软组织感染为罕见筋膜炎；肺炎为免疫功能受损宿主出现的罕见病原菌，临床表现为炭疽肺炎。"
"28",1452,0.000696908261530664,22,22,"S","Bacillus atrophaeus","Bacillus atrophaeus","Bacteria","G+","芽孢杆菌属","萎缩芽孢杆菌","0"
"29",1583,0.00041180942726812,13,13,"S","Weissella confusa","Weissella confusa","Bacteria",NA,NA,NA,NA
"30",1599,0.00139381652306133,44,44,"S","Latilactobacillus sakei","Latilactobacillus sakei","Bacteria",NA,NA,NA,NA
"31",1660,0.000982007095793208,31,31,"S","Schaalia odontolytica","Schaalia odontolytica","Bacteria","0","0","0","无人类致病性报道。"
"32",1747,0.419000253421186,13227,13227,"S","Cutibacterium acnes","Cutibacterium acnes","Bacteria","G+","丙酸杆菌属","痤疮丙酸杆菌","痤疮丙酸杆菌是一种革兰染色阳性的厌氧短杆菌，细胞内寄生，属于皮肤的正常菌群，一般寄居在皮肤的毛囊及皮脂腺中。随着青少年的发育成熟，毛囊口出现角栓，皮脂腺分泌功能也明显增加，因皮脂含有较多脂肪酸等成分，适合P. acnes的生长及繁殖，从而成为痤疮最主要的病因之一。"
"33",1774,0.00148884946781551,47,47,"S","Mycobacteroides chelonae","Mycobacteroides chelonae","Bacteria","G+","分枝杆菌属","龟分枝杆菌","通常可能会导致软组织感染，包括免疫力正常和免疫力低下病人的手术后或深部感染0播散，龟分枝杆菌可能是病原体也可能是环境污染物。社区获得性感染（蜂窝组织炎，脓肿，骨髓炎）可能会发生或者在医疗操作后发生在免疫功能正常的人身上（在软组织创伤如机动车相撞后偶发分枝杆菌更有可能是病原体）。皮肤疾病一般发生在使用皮质类固醇的免疫抑制患者身上，导管相关性感染（最常见的静脉留置针，也有报道血液透析分流和慢性腹膜透析导管），LASIK术后的角膜炎越来越多的报道。"
"34",1828,0.00066523061327927,21,21,"S","Rhodococcoides fascians","Rhodococcus fascians","Bacteria","G+","红球菌属","束红球菌","束红球菌为植物致病菌。"
"35",4932,0.00788436268068331,36,36,"S","Saccharomyces cerevisiae","Saccharomyces cerevisiae","Eukaryota","fun","酵母属","酿酒酵母","酿酒酵母在环境中普遍存在，也是胃肠道和皮肤的正常菌群。但它也可致免疫缺陷患者真菌血症、心内膜炎、腹膜炎及播散性感染。"
"36",5454,0.00481822163819536,22,22,"S","Ascochyta rabiei","Ascochyta rabiei","Eukaryota",NA,NA,NA,NA
"37",5833,0.0153307052124398,70,70,"S","Plasmodium falciparum","Plasmodium falciparum","Eukaryota","par","Plasmodium","恶性疟原虫","疟原虫有蚊虫和人两个宿主，包括蚊体内的有性繁殖和人体内的无性增殖，携带疟原虫的按蚊通过叮咬人而传播，引起疟疾寒热往来发作，俗称“打摆子”。而其他种类的疟原虫会感染它种动物，包括其他灵长目动物、啮齿目动物、鸟类及爬虫类。"
"38",28035,0.000475164723770907,15,15,"S","Staphylococcus lugdunensis","Staphylococcus lugdunensis","Bacteria","G+","葡萄球菌属","路登葡萄球菌","路登葡萄球菌，较为常见与人类感染有关的凝固酶阴性葡萄球菌，可造成严重的骨关节感染，异物相关感染，菌血症和心内膜炎等。"
"39",28037,0.00491003547896604,155,155,"S","Streptococcus mitis","Streptococcus mitis","Bacteria","G+","链球菌属","缓症链球菌","是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。"
"40",28090,0.000886974151039027,28,28,"S","Acinetobacter lwoffii","Acinetobacter lwoffii","Bacteria","G-","不动杆菌属","洛菲不动杆菌","是不动杆菌属菌种，有机会致病性。"
"41",28132,0.00133046122655854,42,42,"S","Prevotella melaninogenica","Prevotella melaninogenica","Bacteria","G-","普雷沃菌属","产黑素普雷沃菌","普雷沃菌属(Prevotella)是近年来从类杆菌属中分出的一个新菌属，最常见的是产黑色素普雷沃菌（P.melaninogenica）。主要集聚于正常人体的口腔、女性生殖道等部位，组成这些部位的正常菌群，仅次于脆弱类杆菌。它是临床上较常见的一种条件致病菌，可引起这些部位的内源性感染，女性生殖道及口腔感染多见，与结缔组织的分解有关。"
"42",28449,0.00402306132792702,127,127,"S","Neisseria subflava","Neisseria subflava","Bacteria","G-","奈氏球菌属","微黄奈瑟菌","革兰氏阴性双球菌,过氧化酶阳性。"
"43",28901,0.0578433857070451,1826,1826,"S","Salmonella enterica","Salmonella enterica","Bacteria","G-","沙门氏菌属","肠沙门氏菌","一种杆状鞭毛虫兼性需氧革兰氏阴性细菌，它的一些血清是严重的人类病原体。大多数沙门氏菌病是由感染了肠溶链球菌的食物引起的，肠溶链球菌经常感染牛和家禽，尽管其他动物如家猫和仓鼠也被证明是人类感染的来源"
"44",29378,0.000601875316776483,19,19,"S","Staphylococcus arlettae","Staphylococcus arlettae","Bacteria",NA,NA,NA,NA
"45",29379,0.000918651799290421,29,29,"S","Staphylococcus auricularis","Staphylococcus auricularis","Bacteria",NA,NA,NA,NA
"46",29388,0.00281931069437405,89,89,"S","Staphylococcus capitis","Staphylococcus capitis","Bacteria","G+","葡萄球菌属","头状葡萄球菌","头状葡萄球菌属凝固酶阴性葡萄球菌，既是人类皮肤正常的菌群，又是一种条件致病菌，可引起皮肤软组织感染、血流感染等感染性疾病。"
"47",29394,0.0010136847440446,32,32,"S","Dolosigranulum pigrum","Dolosigranulum pigrum","Bacteria",NA,NA,NA,NA
"48",29447,0.000760263558033452,24,24,"S","Xanthomonas albilineans","Xanthomonas albilineans","Bacteria","G-","黄单胞菌属","甘蔗鳞斑病黄单胞菌","植物病原菌"
"49",33010,0.00161556006082108,51,51,"S","Cutibacterium avidum","Cutibacterium avidum","Bacteria","0","0","","原属于丙酸杆菌（Propionibacterium）属，是存在于人类皮肤的一种细菌，具有少见的机会致病性，可导致表面，深部，侵袭性感染，包括但不限于乳房感染，皮肤脓肿，感染性心内膜炎，假体感染和器械相关感染。"
"50",33011,0.0169475418144957,535,535,"S","Cutibacterium granulosum","Cutibacterium granulosum","Bacteria","0","0","","原为丙酸杆菌（Propionibacterium）属的颗粒丙酸杆菌（Propionibacterium granulosum），寄生于皮肤，具有机会致病性，可导致罕见的感染性心内膜炎，假体感染等。"
"51",33034,0.001045362392296,33,33,"S","Anaerococcus prevotii","Anaerococcus prevotii","Bacteria","G-","厌氧球菌属","普氏厌氧球菌","厌氧球菌属菌种，专性厌氧，对人类有罕见的机会致病性，可导致化脓性关节炎。"
"52",33889,0.000791941206284845,25,25,"S","Brevibacterium casei","Brevibacterium casei","Bacteria",NA,NA,NA,NA
"53",34062,0.00342118601115053,108,108,"S","Moraxella osloensis","Moraxella osloensis","Bacteria","G-","莫拉菌属","奥斯陆莫拉菌","是存在于人和动物黏膜上的正常菌群,为条件致病菌,很少致病,可引起肺炎、结膜炎、脑膜炎、脑脓肿、心内膜炎、心包炎等。"
"54",36651,0.00481822163819536,22,22,"S","Penicillium digitatum","Penicillium digitatum","Eukaryota","fun","青霉属","指状青霉菌","一种植物病原真菌，主要感染柑橘、苹果，通过局部调节柑橘、苹果的PH来增强其毒力，腐蚀果实时会导致其PH下降。"
"55",38284,0.001045362392296,33,33,"S","Corynebacterium accolens","Corynebacterium accolens","Bacteria","G+","棒状杆菌属","拥挤棒杆菌","拥挤棒杆菌罕见引起骨髓炎。"
"56",38286,0.00120375063355297,38,38,"S","Corynebacterium afermentans","Corynebacterium afermentans","Bacteria",NA,NA,NA,NA
"57",38289,0.000570197668525089,18,18,"S","Corynebacterium jeikeium","Corynebacterium jeikeium","Bacteria","G+","棒状杆菌属","杰氏棒杆菌","棒状杆菌属菌种，革兰阳性，有机会致病性，是临床上常见的棒状杆菌之一，可引起各种感染，如心内膜炎，菌血症，脓胸，肺部感染等，免疫功能受损的患者易感染。"
"58",38290,0.00117207298530157,37,37,"S","Corynebacterium macginleyi","Corynebacterium macginleyi","Bacteria",NA,NA,NA,NA
"59",38304,0.00497339077546883,157,157,"S","Corynebacterium tuberculostearicum","Corynebacterium tuberculostearicum","Bacteria",NA,NA,NA,NA
"60",40214,0.00503674607197162,159,159,"S","Acinetobacter johnsonii","Acinetobacter johnsonii","Bacteria","G-","不动杆菌属","约翰逊不动杆菌","是不动杆菌属菌种，有机会致病性。"
"61",40215,0.000823618854536239,26,26,"S","Acinetobacter junii","Acinetobacter junii","Bacteria","G-","不动杆菌属","琼氏不动杆菌","是不动杆菌属菌种，有机会致病性。"
"62",40324,0.00582868727825646,184,184,"S","Stenotrophomonas maltophilia","Stenotrophomonas maltophilia","Bacteria","G-","寡养单胞菌属","嗜麦芽糖寡养单胞菌","嗜麦芽寡养单胞菌是重要的医源性感染菌。其中易感因素包括：体弱，免疫功能低下，外伤，插管，手术，移植，使用呼吸机等。寡养单胞菌属为条件致病菌，主要引起院内感染，最常见的是：呼吸道感染、尿道感染、伤口感染，也可引起脑膜炎、菌血症、医源性败血症、心内膜炎等。引起本菌定植和感染的危险因素有：机械通气、广谱抗生素的预防性应用、化疗、插管和中性粒细胞减少等。"
"63",40559,0.00963644327639071,44,44,"S","Botrytis cinerea","Botrytis cinerea","Eukaryota","fun","葡萄球菌属","灰葡萄孢菌","一种植物致病菌，无人类致病性报道，可侵染多钟植物的幼苗、果实。"
"64",42253,0.000791941206284845,25,25,"S","Nitrospira moscoviensis","Nitrospira moscoviensis","Bacteria","0","硝化螺菌属","0","0"
"65",43675,0.00386467308667005,122,122,"S","Rothia mucilaginosa","Rothia mucilaginosa","Bacteria","G+","罗氏菌属","黏液罗氏菌","黏液罗氏菌是存在于人口腔中的正常菌群，也是一种机会致病菌。已报道该菌导致脑膜炎、心内膜炎、肺炎、菌血症等。"
"66",43768,0.000475164723770907,15,15,"S","Corynebacterium matruchotii","Corynebacterium matruchotii","Bacteria","G+","棒状杆菌属","马氏棒杆菌","目前无致病性报道"
"67",43771,0.00066523061327927,21,21,"S","Corynebacterium urealyticum","Corynebacterium urealyticum","Bacteria","G+","棒状杆菌属","解脲棒杆菌","棒状杆菌属菌种，革兰阳性，亲脂性，脲酶阳性，多药耐药性，是一种医院的机会致病菌，可引起膀胱炎，肾盂肾炎，菌血症等。"
"68",44577,0.00123542828180436,39,39,"S","Nitrosomonas ureae","Nitrosomonas ureae","Bacteria","0","亚硝化单胞菌属","脲亚硝化单胞菌","0"
"69",45634,0.00266092245311708,84,84,"S","Streptococcus cristatus","Streptococcus cristatus","Bacteria","G+","链球菌属","嵴链球菌","嵴链链球菌是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。"
"70",45972,0.000475164723770907,15,15,"S","Staphylococcus pasteuri","Staphylococcus pasteuri","Bacteria","G+","葡萄球菌属","巴氏葡萄球菌","巴氏葡萄球菌为凝固酶阴性葡萄球菌，广泛存在于自然界中，有关该菌造成人类感染的病例较少，造成菌血症、心内膜炎。"
"71",46124,0.000538520020273695,17,17,"S","Granulicatella adiacens","Granulicatella adiacens","Bacteria","G+","0","0","颗粒链菌属是人口咽部，生殖系统和肠道内正常菌群，是条件致病菌。可引起感染性内膜炎及其他疾病。"
"72",47671,0.00209072478459199,66,66,"S","Lautropia mirabilis","Lautropia mirabilis","Bacteria",NA,NA,NA,NA
"73",47770,0.00579700963000507,183,183,"S","Lactobacillus crispatus","Lactobacillus crispatus","Bacteria","G+","乳杆菌属","卷曲乳杆菌","普遍认为这种细菌分泌的乳酸改善阴道PH，抑制病原。"
"74",54005,0.000696908261530664,22,22,"S","Peptoniphilus harei","Peptoniphilus harei","Bacteria",NA,NA,NA,NA
"75",56689,0.00129878357830715,41,41,"S","Mycolicibacterium mucogenicum","Mycolicibacterium mucogenicum","Bacteria",NA,NA,NA,NA
"76",61592,0.00129878357830715,41,41,"S","Corynebacterium durum","Corynebacterium durum","Bacteria","G+","棒状杆菌属","硬质小麦棒杆菌","硬质小麦棒杆菌到目前为止仅在人呼吸道样本中分离得到。目前无致病性报道。"
"77",69781,0.00591327201051248,27,27,"S","Penicillium oxalicum","Penicillium oxalicum","Eukaryota",NA,NA,NA,NA
"78",71999,0.0138748099341105,438,438,"S","Kocuria palustris","Kocuria palustris","Bacteria","G+","考克氏菌属","沼泽考克氏菌","革兰氏阳性，有从乳糜泻患者十二指肠中分离出来。"
"79",76775,0.821068769163382,3749,3749,"S","Malassezia restricta","Malassezia restricta","Eukaryota","fun","马拉色菌属","限制性马拉色菌","在一些早产儿或免疫抑制人群中，厚皮马拉色菌以及一些嗜脂性的马拉色菌还可导致系统感染，如菌血症、间质性肺炎等。"
"80",80866,0.00380131779016726,120,120,"S","Delftia acidovorans","Delftia acidovorans","Bacteria","0","代尔夫特菌属","食酸戴尔福特菌","戴尔福特菌属菌种，是环境细菌，革兰阴性，需氧。具有很罕见的机会致病性，主要感染对象是住院或免疫功能低下患者，也可感染免疫功能正常者，可造成肺炎，尿路感染等。"
"81",80878,0.00139381652306133,44,44,"S","Acidovorax temperans","Acidovorax temperans","Bacteria","G-","食酸菌属","中等食酸菌","广泛存在于土壤，水和植物中，可从临床标本中分离"
"82",85698,0.00221743537759757,70,70,"S","Achromobacter xylosoxidans","Achromobacter xylosoxidans","Bacteria","G-","无色杆菌属","木糖氧化无色杆菌","广泛存在于自然及医院环境中,是少见的社区和医院获得性病原菌,近年来逐渐被认为是肺囊性纤维化、免疫系统受损以及患有慢性基础疾病患者的常见致病菌,并可引起广泛的临床感染症状。"
"83",108980,0.00145717181956412,46,46,"S","Acinetobacter ursingii","Acinetobacter ursingii","Bacteria",NA,NA,NA,NA
"84",128785,0.000348454130765332,11,11,"S","Pseudoxanthomonas mexicana","Pseudoxanthomonas mexicana","Bacteria",NA,NA,NA,NA
"85",133453,0.000443487075519513,14,14,"S","Caldilinea aerophila","Caldilinea aerophila","Bacteria","G-","暖绳菌属","","暖蝇菌属菌种，从上流式污泥床反应器中分离，嗜热，革兰阴性，不形成孢子，多细胞，丝状。"
"86",137732,0.000696908261530664,22,22,"S","Granulicatella elegans","Granulicatella elegans","Bacteria","G+","0","0","颗粒链菌属是人口咽部，生殖系统和肠道内正常菌群，是条件致病菌。可引起感染性内膜炎及其他疾病。"
"87",147802,0.00430816016218956,136,136,"S","Lactobacillus iners","Lactobacillus iners","Bacteria",NA,NA,NA,NA
"88",165179,0.000855296502787633,27,27,"S","Segatella copri","Segatella copri","Bacteria",NA,NA,NA,NA
"89",172042,0.00332615306639635,105,105,"S","Rothia aeria","Rothia aeria","Bacteria","G+","罗氏菌属","0","Rothia aeria 属于罗氏菌属。较罕见引起人类感染。当人体免疫力低下时，可引起菌血症、颈部脓肿、呼吸道感染、脓毒性关节炎、感染性心内膜炎。"
"90",182096,0.0304424003504161,139,139,"S","Aspergillus chevalieri","Aspergillus chevalieri","Eukaryota",NA,NA,NA,NA
"91",199306,0.00547525186158563,25,25,"S","Coccidioides posadasii","Coccidioides posadasii","Eukaryota","fun","粗球孢子菌属","波萨球孢子菌","球孢子菌属的一种，导致球孢子菌病（溪谷热）的另一种病原（最常见的是粗球孢子菌），该病在美国西南部、墨西哥等地流行，引起人或动物原发性皮肤感染，并可引起肺部、脑膜等病症。"
"92",202956,0.000633552965027876,20,20,"S","Acinetobacter towneri","Acinetobacter towneri","Bacteria",NA,NA,NA,NA
"93",213418,0.00148884946781551,47,47,"S","uncultured Brevundimonas sp.","uncultured Brevundimonas sp.","Bacteria",NA,NA,NA,NA
"94",223818,0.0337275514673675,154,154,"S","Malassezia japonica","Malassezia japonica","Eukaryota",NA,NA,NA,NA
"95",225991,0.001045362392296,33,33,"S","Comamonas aquatica","Comamonas aquatica","Bacteria","G-","丛毛单胞菌属","水生丛毛单胞菌","丛毛单胞菌属菌种，革兰阴性，氧化酶和过氧化氢酶阴性，对人具有罕见的机会致病性，可导致菌血症并发感染性休克。"
"96",269660,0.00167891535732387,53,53,"S","Methylobacterium brachiatum","Methylobacterium brachiatum","Bacteria",NA,NA,NA,NA
"97",283734,0.000380131779016726,12,12,"S","Staphylococcus pseudintermedius","Staphylococcus pseudintermedius","Bacteria","G+","葡萄球菌属","伪中间葡萄球菌（凝固酶阳性）","伪中间葡萄球菌不会引起人类感染，但是当宠物如犬、猫等动物受伤或生病，或者宠物主人身体免疫功能低下时，可引发感染"
"98",307486,0.000538520020273695,17,17,"S","Tepidimonas taiwanensis","Tepidimonas taiwanensis","Bacteria",NA,NA,NA,NA
"99",319706,0.0117207298530157,370,370,"S","Mycolicibacterium phocaicum","Mycolicibacterium phocaicum","Bacteria",NA,NA,NA,NA
"100",319707,0.00066523061327927,21,21,"S","Mycolicibacterium aubagnense","Mycolicibacterium aubagnense","Bacteria",NA,NA,NA,NA
"101",322509,0.00066523061327927,21,21,"S","Dietzia kunjamensis","Dietzia kunjamensis","Bacteria",NA,NA,NA,NA
"102",340268,0.00107704004054739,34,34,"S","Tardiphaga alba","Rhodopseudomonas sp. SK50-23","Bacteria",NA,NA,NA,NA
"103",356302,0.000791941206284845,25,25,"S","Chitinimonas koreensis","Chitinimonas koreensis","Bacteria",NA,NA,NA,NA
"104",376175,0.0040864166244298,129,129,"S","Caldimonas aquatica","Schlegelella aquatica","Bacteria",NA,NA,NA,NA
"105",396015,0.0015205271160669,48,48,"S","Rothia terrae","Rothia terrae","Bacteria",NA,NA,NA,NA
"106",401472,0.000538520020273695,17,17,"S","Corynebacterium ureicelerivorans","Corynebacterium ureicelerivorans","Bacteria","G+","棒状杆菌属","","棒状杆菌属机会致病菌种，能造成菌血症，具有亲脂性和极高的脲酶活性。"
"107",424800,0.00139381652306133,44,44,"S","Sphingomonas insulae","Sphingomonas insulae","Bacteria",NA,NA,NA,NA
"108",456999,0.00416119141480508,19,19,"S","Rhizoctonia solani","Rhizoctonia solani","Eukaryota",NA,NA,NA,NA
"109",461393,0.000601875316776483,19,19,"S","Actinomyces massiliensis","Actinomyces massiliensis","Bacteria",NA,NA,NA,NA
"110",477697,0.0020590471363406,65,65,"S","Streptomyces sp. T12","Streptomyces sp. T12","Bacteria",NA,NA,NA,NA
"111",492670,0.00221743537759757,70,70,"S","Bacillus velezensis","Bacillus velezensis","Bacteria","G+","芽孢杆菌属","贝莱斯芽孢杆菌","0"
"112",536441,0.000601875316776483,19,19,"S","Chryseobacterium taklimakanense","Chryseobacterium taklimakanense","Bacteria","G-","金黄杆菌属","0","0"
"113",544580,0.00243917891535732,77,77,"S","Actinomyces oris","Actinomyces oris","Bacteria","G+","放线菌属","口腔放线菌","引起放线菌病"
"114",563996,0.0119741510390269,378,378,"S","Sphingomonas hankookensis","Sphingomonas hankookensis","Bacteria",NA,NA,NA,NA
"115",570505,0.0020273694880892,64,64,"S","Methylobacterium bullatum","Methylobacterium bullatum","Bacteria",NA,NA,NA,NA
"116",574650,0.0015522047643183,49,49,"S","Micrococcus terreus","Micrococcus terreus","Bacteria",NA,NA,NA,NA
"117",706438,0.0010136847440446,32,32,"S","Actinomyces sp. oral taxon 171","Actinomyces sp. oral taxon 171","Bacteria",NA,NA,NA,NA
"118",712357,0.000538520020273695,17,17,"S","Leptotrichia sp. oral taxon 212","Leptotrichia sp. oral taxon 212","Bacteria","0","纤毛菌属","纤毛菌属","0"
"119",712435,0.00288266599087684,91,91,"S","Porphyromonas sp. oral taxon 275","Porphyromonas sp. oral taxon 275","Bacteria",NA,NA,NA,NA
"120",1047171,0.00941743320192729,43,43,"S","Zymoseptoria tritici","Zymoseptoria tritici","Eukaryota","fun","","小麦真菌类病原菌","小麦真菌类病原菌"
